date,open,high,low,close,volume,symbol,top_fractal,bottom_fractal,pen_type,pen_start,pen_end,segment_type,segment_start,segment_end,central_bank,central_bank_high,central_bank_low,target_price,stoploss
2025-04-29,2.71,2.715,2.7,2.706,384683681,510050,False,False,,False,False,,False,False,False,,,2.76012,2.6248199999999997
2025-04-30,2.706,2.713,2.692,2.693,556827770,510050,False,False,,False,False,,False,False,False,,,2.7468600000000003,2.61221
2025-05-06,2.709,2.71,2.694,2.707,505829535,510050,False,False,,False,False,,False,False,False,,,2.7611399999999997,2.62579
2025-05-07,2.739,2.745,2.715,2.731,1220931662,510050,False,False,,False,False,,False,False,False,,,2.7856199999999998,2.6490699999999996
2025-05-08,2.724,2.757,2.721,2.742,797600557,510050,False,False,,False,False,,False,False,False,,,2.79684,2.6597399999999998
2025-05-09,2.738,2.75,2.737,2.744,512043246,510050,False,False,,False,False,,False,False,False,,,2.7988800000000005,2.66168
2025-05-12,2.75,2.774,2.744,2.763,726418144,510050,False,False,,False,False,,False,False,False,,,2.81826,2.68011
2025-05-13,2.774,2.774,2.762,2.769,575800924,510050,False,False,,False,False,,False,False,False,,,2.82438,2.68593
2025-05-14,2.771,2.832,2.769,2.817,1254648913,510050,True,False,down,True,False,down,True,True,True,2.776,2.73,2.8733400000000002,2.73
2025-05-15,2.813,2.821,2.798,2.803,811279532,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.85906,2.7189099999999997
2025-05-16,2.798,2.804,2.767,2.778,690061920,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.83356,2.69466
2025-05-19,2.77,2.778,2.762,2.769,465527214,510050,False,True,,False,False,,False,False,True,2.776,2.73,2.82438,2.68593
2025-05-20,2.77,2.793,2.769,2.78,366660806,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8356,2.6965999999999997
2025-05-21,2.78,2.804,2.78,2.793,428172019,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.84886,2.70921
2025-05-22,2.788,2.802,2.781,2.796,247053766,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.85192,2.7121199999999996
2025-05-23,2.794,2.807,2.773,2.775,505854295,510050,True,False,,False,False,,False,False,True,2.776,2.73,2.8305,2.69175
2025-05-26,2.77,2.785,2.756,2.764,473676185,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.81928,2.6810799999999997
2025-05-27,2.763,2.771,2.747,2.75,417125746,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.805,2.6675
2025-05-28,2.75,2.754,2.743,2.747,334195700,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.80194,2.66459
2025-05-29,2.748,2.769,2.741,2.754,882087471,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8090800000000002,2.67138
2025-05-30,2.753,2.758,2.73,2.749,884995116,510050,False,True,up,True,True,up,True,True,True,2.776,2.73,2.80398,2.66653
2025-06-03,2.74,2.761,2.734,2.748,501260254,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.80296,2.66556
2025-06-04,2.751,2.764,2.748,2.755,318023306,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8101,2.67235
2025-06-05,2.76,2.761,2.745,2.754,416479500,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8090800000000002,2.67138
2025-06-06,2.758,2.768,2.751,2.756,506736659,510050,True,False,,False,False,,False,False,True,2.776,2.73,2.81112,2.67332
2025-06-09,2.758,2.767,2.747,2.756,709788198,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.81112,2.67332
2025-06-10,2.758,2.767,2.735,2.742,917943537,510050,False,True,,False,False,,False,False,True,2.776,2.73,2.79684,2.6597399999999998
2025-06-11,2.742,2.776,2.741,2.762,585072791,510050,True,False,down,True,True,down,True,True,True,2.776,2.73,2.81724,2.67914
2025-06-12,2.758,2.766,2.741,2.76,392650273,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8152,2.6771999999999996
2025-06-13,2.755,2.76,2.736,2.746,651201333,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.80092,2.66362
2025-06-16,2.737,2.757,2.735,2.753,578828372,510050,False,True,,False,False,,False,False,True,2.776,2.73,2.8080600000000002,2.67041
2025-06-17,2.752,2.756,2.74,2.753,571268034,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8080600000000002,2.67041
2025-06-18,2.752,2.76,2.739,2.75,427677032,510050,True,False,,False,False,,False,False,True,2.776,2.73,2.805,2.6675
2025-06-19,2.746,2.748,2.727,2.733,806218699,510050,False,True,up,True,True,up,True,True,True,2.776,2.73,2.7876600000000002,2.65101
2025-06-20,2.735,2.755,2.734,2.749,788226011,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.80398,2.66653
2025-06-23,2.743,2.771,2.733,2.762,755015613,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.81724,2.67914
2025-06-24,2.762,2.81,2.761,2.792,958847700,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.8478399999999997,2.7082399999999995
2025-06-25,2.794,2.834,2.788,2.832,974126991,510050,False,False,,False,False,,False,False,True,2.776,2.73,2.88864,2.73
