date,open,high,low,close,volume
2025-10-09,1.234,1.25,1.224,1.248,1001009840
2025-10-10,1.246,1.25,1.23,1.233,587458759
2025-10-13,1.201,1.25,1.199,1.249,676825126
2025-10-14,1.252,1.264,1.226,1.233,862241504
2025-10-15,1.232,1.232,1.206,1.23,646985924
2025-10-16,1.23,1.236,1.214,1.218,439463217
2025-10-17,1.214,1.222,1.173,1.177,711413941
2025-10-20,1.184,1.195,1.172,1.18,361064919
2025-10-21,1.182,1.197,1.181,1.196,346154096
2025-10-22,1.193,1.193,1.18,1.182,310632104
2025-10-23,1.178,1.179,1.158,1.178,413288354
2025-10-24,1.185,1.21,1.185,1.208,642242288
2025-10-27,1.212,1.223,1.212,1.222,561287492
2025-10-28,1.223,1.242,1.215,1.236,810091973
2025-10-29,1.236,1.246,1.23,1.243,650750676
2025-10-30,1.235,1.237,1.218,1.219,569958176
2025-10-31,1.217,1.221,1.202,1.204,461468549
