date,open,high,low,close,volume,top_fractal,bottom_fractal,fractal_price,pen_type,pen_start,pen_end,pen_id,pen_length_kline,pen_price_change,pen_price_ratio,segment_type,segment_start,segment_end,segment_id,segment_length_pen,segment_price_change,segment_price_ratio,central_bank,central_bank_id,central_bank_type,central_bank_high,central_bank_low,central_bank_mid,central_bank_length,central_bank_overlap_ratio,ema12,ema26,macd,macd_signal,macd_hist,tr1,tr2,tr3,tr,atr,divergence,divergence_indicator,divergence_strength,divergence_count,signal,signal_strength,signal_source,signal_level,signal_conditions,fractal_strength,divergence_strength_score,structure_match_score,stop_loss_price,stop_loss_type
2025-05-30,1.044,1.053,1.036,1.048,528524352,False,False,1.061,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.048,1.048,0.0,0.0,0.0,0.016999999999999904,0.0129999999999999,0.0050000000000001155,0.016999999999999904,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-03,1.049,1.061,1.043,1.048,579511300,True,False,1.061,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.048,1.048,0.0,0.0,0.0,0.018000000000000016,0.0129999999999999,0.0050000000000001155,0.018000000000000016,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-04,1.045,1.051,1.043,1.047,320873500,False,False,1.039,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0478461538461539,1.047925925925926,-7.97720797720558e-05,-1.595441595441116e-05,-6.381766381764464e-05,0.008000000000000007,0.0029999999999998916,0.0050000000000001155,0.008000000000000007,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-05,1.046,1.052,1.039,1.052,488589476,False,True,1.039,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0484852071005917,1.0482277091906722,0.0002574979099194685,3.873604922036478e-05,0.00021876186069910375,0.013000000000000123,0.0050000000000001155,0.008000000000000007,0.013000000000000123,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-06,1.053,1.062,1.046,1.047,488547500,False,False,1.073,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0482567137005006,1.0481367677691409,0.00011994593135966625,5.4978025648225075e-05,6.496790571144118e-05,0.016000000000000014,0.010000000000000009,0.006000000000000005,0.016000000000000014,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-09,1.052,1.073,1.052,1.062,610498600,True,False,1.073,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0503710654388851,1.0491636738603156,0.0012073915785695277,0.00028546073623248564,0.0009219308423370421,0.020999999999999908,0.026000000000000023,0.0050000000000001155,0.026000000000000023,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-10,1.061,1.061,1.036,1.045,588890357,False,True,1.036,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0495447476790567,1.0488552535743663,0.0006894941046904357,0.0003662674099240757,0.00032322669476636003,0.02499999999999991,0.001000000000000112,0.026000000000000023,0.026000000000000023,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-11,1.042,1.051,1.041,1.049,310540100,False,False,1.04,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0494609403438173,1.0488659755318206,0.0005949648119967232,0.00041200689033860517,0.00018295792165811807,0.010000000000000009,0.006000000000000005,0.0040000000000000036,0.010000000000000009,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-12,1.047,1.049,1.04,1.041,269400219,False,True,1.04,up,True,False,0,5,0.030000000000000027,0.028846153846153872,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0481592572139993,1.0482833106776117,-0.00012405346361243907,0.0003047948195483963,-0.0004288482831608354,0.008999999999999897,0.0,0.008999999999999897,0.008999999999999897,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-13,1.049,1.06,1.041,1.056,749976200,True,False,1.06,up,False,False,0,5,0.030000000000000027,0.028846153846153872,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0493655253349226,1.0488549172940849,0.0005106080408376901,0.0003459574638062551,0.00016465057703143497,0.019000000000000128,0.019000000000000128,0.0,0.019000000000000128,0.01650000000000002,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
