date,open,high,low,close,volume
2025-01-02,11.73,11.77,11.39,11.43,181959699
2025-01-03,11.44,11.54,11.36,11.38,115468044
2025-01-06,11.38,11.48,11.22,11.44,108553630
2025-01-07,11.42,11.53,11.37,11.51,74786288
2025-01-08,11.5,11.63,11.4,11.5,106238601
2025-01-09,11.5,11.5,11.35,11.4,75148330
2025-01-10,11.4,11.46,11.28,11.3,79813351
2025-01-13,11.25,11.26,11.08,11.2,93496618
2025-01-14,11.2,11.4,11.19,11.38,82462895
2025-01-15,11.38,11.58,11.36,11.48,103163082
2025-01-16,11.55,11.59,11.47,11.57,87296399
2025-01-17,11.53,11.55,11.42,11.45,68976486
2025-01-20,11.5,11.52,11.4,11.42,83202913
2025-01-21,11.45,11.45,11.32,11.33,90206894
2025-01-22,11.32,11.33,11.08,11.09,134712922
2025-01-23,11.17,11.4,11.17,11.32,151492027
2025-01-24,11.32,11.39,11.22,11.34,94494421
2025-01-27,11.38,11.55,11.38,11.47,115193471
2025-02-05,11.5,11.52,11.33,11.37,84343370
2025-02-06,11.35,11.45,11.3,11.36,95560325
2025-02-07,11.36,11.45,11.31,11.38,140749262
2025-02-10,11.38,11.5,11.36,11.43,102659093
2025-02-11,11.4,11.47,11.37,11.42,84452003
2025-02-12,11.41,11.43,11.34,11.42,98880683
2025-02-13,11.42,11.55,11.4,11.5,135863927
2025-02-14,11.49,11.55,11.43,11.55,97305774
2025-02-17,11.6,11.8,11.55,11.78,206196542
2025-02-18,11.76,11.96,11.76,11.81,199661049
2025-02-19,11.8,11.81,11.68,11.71,117774895
2025-02-20,11.71,11.76,11.65,11.66,78439627
2025-02-21,11.69,11.71,11.55,11.64,97396897
2025-02-24,11.63,11.69,11.56,11.59,94995617
2025-02-25,11.56,11.58,11.46,11.47,91715602
2025-02-26,11.47,11.6,11.47,11.52,84164552
2025-02-27,11.53,11.63,11.46,11.62,97730975
2025-02-28,11.58,11.68,11.5,11.53,94908806
2025-03-03,11.52,11.56,11.45,11.51,83045695
2025-03-04,11.47,11.55,11.44,11.51,68317873
2025-03-05,11.52,11.67,11.48,11.66,108064544
2025-03-06,11.69,11.7,11.6,11.63,87740771
2025-03-07,11.63,11.69,11.6,11.67,83553669
2025-03-10,11.66,11.67,11.55,11.59,66383393
2025-03-11,11.54,11.61,11.52,11.61,60897527
2025-03-12,11.6,11.87,11.56,11.85,187731840
2025-03-13,11.81,11.91,11.78,11.84,131237121
2025-03-14,11.82,12.0,11.82,11.97,172241765
2025-03-17,11.63,11.67,11.46,11.5,460361210
2025-03-18,11.52,11.54,11.48,11.49,160529000
2025-03-19,11.48,11.53,11.46,11.52,136245491
2025-03-20,11.51,11.61,11.49,11.49,110115724
2025-03-21,11.49,11.52,11.39,11.42,137638897
2025-03-24,11.41,11.44,11.34,11.38,116457734
2025-03-25,11.38,11.43,11.36,11.43,73560888
2025-03-26,11.42,11.43,11.37,11.38,74086307
2025-03-27,11.37,11.41,11.35,11.39,55334940
2025-03-28,11.39,11.4,11.34,11.35,64494555
2025-03-31,11.36,11.38,11.26,11.26,111612564
2025-04-01,11.27,11.3,11.22,11.27,68147042
2025-04-02,11.25,11.41,11.25,11.37,93264176
2025-04-03,11.31,11.39,11.3,11.34,64391391
2025-04-07,11.0,11.05,10.48,10.7,254556048
2025-04-08,10.68,10.85,10.66,10.82,146398771
2025-04-09,10.73,10.83,10.66,10.8,106439405
2025-04-10,10.86,10.93,10.82,10.9,86654805
2025-04-11,10.87,10.9,10.83,10.89,58387902
2025-04-14,10.95,11.04,10.92,10.93,78599345
2025-04-15,10.92,10.97,10.9,10.95,72275410
2025-04-16,10.93,11.01,10.91,11.0,84282217
2025-04-17,10.95,11.08,10.93,11.06,82391931
2025-04-18,11.04,11.19,11.03,11.18,72709815
2025-04-21,11.0,11.13,10.97,11.02,111418418
2025-04-22,11.02,11.06,10.98,11.04,83112887
2025-04-23,11.04,11.05,10.97,11.01,58638293
2025-04-24,11.0,11.06,10.99,11.03,68925613
2025-04-25,11.04,11.05,10.99,11.01,63754686
2025-04-28,11.0,11.04,10.96,11.0,64201837
2025-04-29,11.0,11.02,10.95,10.98,64904494
2025-04-30,10.96,10.97,10.89,10.91,86983492
2025-05-06,10.92,11.0,10.89,10.96,85467127
2025-05-07,11.01,11.04,10.97,11.03,112627001
2025-05-08,11.0,11.08,10.99,11.08,105661366
2025-05-09,11.07,11.17,11.06,11.15,99989747
2025-05-12,11.16,11.22,11.13,11.16,89560460
2025-05-13,11.19,11.33,11.15,11.29,126103062
2025-05-14,11.29,11.47,11.25,11.43,168351358
2025-05-15,11.43,11.5,11.38,11.39,103546026
2025-05-16,11.37,11.43,11.31,11.38,91474445
2025-05-19,11.4,11.47,11.36,11.37,83139060
2025-05-20,11.4,11.47,11.37,11.39,64363480
2025-05-21,11.4,11.59,11.39,11.48,132827810
2025-05-22,11.45,11.56,11.44,11.55,100296806
2025-05-23,11.55,11.6,11.43,11.46,96264311
2025-05-26,11.44,11.5,11.4,11.42,69915858
2025-05-27,11.45,11.54,11.42,11.49,80191514
2025-05-28,11.5,11.55,11.44,11.53,65817947
2025-05-29,11.52,11.55,11.45,11.46,91980676
2025-05-30,11.47,11.58,11.44,11.56,113084931
2025-06-03,11.54,11.91,11.53,11.81,219247966
2025-06-04,11.82,11.88,11.78,11.84,116795950
2025-06-05,11.88,11.91,11.66,11.67,116680349
2025-06-06,11.7,11.79,11.68,11.7,68235251
2025-06-09,11.73,11.75,11.65,11.71,77325468
2025-06-10,11.72,11.89,11.71,11.81,142813180
2025-06-11,11.82,11.93,11.79,11.85,109466664
2025-06-12,11.56,11.7,11.52,11.68,129022047
2025-06-13,11.68,11.74,11.56,11.58,109549419
2025-06-16,11.57,11.79,11.53,11.79,117443827
2025-06-17,11.79,11.88,11.71,11.76,89002734
2025-06-18,11.78,11.81,11.66,11.77,68352111
2025-06-19,11.76,11.78,11.65,11.7,83224716
2025-06-20,11.7,11.86,11.67,11.84,130919782
2025-06-23,11.81,11.97,11.67,11.93,138917048
2025-06-24,11.9,12.01,11.84,11.93,130852531
2025-06-25,11.93,12.08,11.83,12.06,167511647
2025-06-26,12.05,12.48,12.01,12.41,217457766
2025-06-27,12.37,12.58,12.13,12.2,237760015
2025-06-30,12.14,12.17,11.96,12.07,150481965
2025-07-01,12.06,12.33,12.06,12.3,135434108
2025-07-02,12.31,12.41,12.23,12.32,120041184
2025-07-03,12.33,12.42,12.28,12.35,79408597
2025-07-04,12.35,12.72,12.3,12.6,177533267
2025-07-07,12.6,12.82,12.6,12.78,149540653
2025-07-08,12.75,12.84,12.65,12.69,109098597
2025-07-09,12.66,12.9,12.66,12.84,120596330
2025-07-10,12.82,13.33,12.79,13.18,248141553
2025-07-11,13.19,13.3,12.89,12.91,244374350
2025-07-14,12.87,13.17,12.86,12.98,187289585
2025-07-15,12.99,13.04,12.71,12.73,181053131
2025-07-16,12.73,12.76,12.5,12.64,192786379
2025-07-17,12.61,12.7,12.54,12.59,94464140
2025-07-18,12.62,12.75,12.6,12.7,124120611
2025-07-21,12.64,12.71,12.55,12.61,107902662
2025-07-22,12.6,12.6,12.32,12.49,193522916
2025-07-23,12.46,12.63,12.45,12.53,137052000
2025-07-24,12.53,12.53,12.33,12.35,195935057
2025-07-25,12.33,12.46,12.32,12.35,110826666
2025-07-28,12.35,12.53,12.32,12.46,123824278
2025-07-29,12.46,12.51,12.34,12.34,101281801
2025-07-30,12.35,12.64,12.34,12.49,171516360
2025-07-31,12.51,12.55,12.22,12.23,169008125
2025-08-01,12.24,12.33,12.15,12.28,101218698
2025-08-04,12.24,12.38,12.21,12.3,103268969
2025-08-05,12.3,12.5,12.28,12.47,113207820
2025-08-06,12.47,12.52,12.4,12.46,69044765
2025-08-07,12.44,12.53,12.39,12.47,72205305
2025-08-08,12.48,12.53,12.39,12.4,82979591
2025-08-11,12.4,12.42,12.27,12.3,93435315
2025-08-12,12.3,12.4,12.3,12.33,68005619
2025-08-13,12.37,12.4,12.23,12.26,111981305
2025-08-14,12.27,12.34,12.19,12.2,124104129
2025-08-15,12.23,12.23,11.94,12.08,194850295
2025-08-18,12.06,12.15,12.03,12.08,123905837
2025-08-19,12.1,12.12,12.02,12.06,89285989
2025-08-20,12.06,12.12,11.98,12.07,104873853
2025-08-21,12.05,12.19,12.03,12.15,121741825
2025-08-22,12.15,12.17,11.98,12.06,164425977
2025-08-25,12.12,12.53,12.1,12.45,304508753
2025-08-26,12.45,12.5,12.3,12.36,138359861
2025-08-27,12.32,12.36,12.05,12.06,186004950
2025-08-28,12.09,12.14,11.97,12.08,165358793
2025-08-29,12.05,12.22,12.03,12.05,180512568
2025-09-01,12.05,12.05,11.85,11.89,185845902
2025-09-02,11.85,11.99,11.84,11.98,149271566
2025-09-03,11.98,12.01,11.74,11.75,136723249
2025-09-04,11.76,11.77,11.6,11.74,129530002
2025-09-05,11.73,11.74,11.63,11.72,81966156
2025-09-08,11.71,11.78,11.67,11.7,92443104
2025-09-09,11.71,11.78,11.68,11.75,86053917
2025-09-10,11.74,11.79,11.71,11.77,79266839
2025-09-11,11.77,11.85,11.71,11.85,96393163
2025-09-12,11.83,11.88,11.7,11.72,94038510
2025-09-15,11.7,11.72,11.63,11.65,84038656
2025-09-16,11.66,11.71,11.61,11.64,70804849
2025-09-17,11.64,11.67,11.58,11.64,77112893
2025-09-18,11.65,11.66,11.38,11.41,138616040
2025-09-19,11.41,11.51,11.37,11.45,83465123
2025-09-22,11.44,11.47,11.37,11.38,59640232
2025-09-23,11.37,11.58,11.32,11.52,134143022
2025-09-24,11.51,11.62,11.43,11.46,113958347
2025-09-25,11.43,11.47,11.36,11.4,77327594
2025-09-26,11.39,11.44,11.32,11.4,75323875
2025-09-29,11.4,11.48,11.27,11.37,117601243
